날짜,제목,내용
2023.06.06.,"""中화장품에 밀렸다""…'설화수'에 열광했던 중국인들의 변심","韓 화장품 수출은 마이너스 지속...""하반기 이후 中 시장 회복"" 반면 우리나라 대표 수출 화장품인 LG생활건강의 '후'나 아모레퍼시픽의 '설화수'는 코로나19(COVID-19)와 한한령(한류금지령) 이후 중국에서 큰 반향을 일으키지 못하고 있는 상황이다. 산업통상자원부에 따르면 5월 한국 화장품 수출액은 전년..."
2023.06.06.,"“1980년대, 생각보다 촌스럽지 않네요”…유행화장전 [가보니]",추천된 화장품은 당시 아모레퍼시픽이 만들어 인기가 높았던 제품들이었다. 면세점에 들렀다가 전시회를 소개받고 방문했다는 관람객 한모 씨는 “원래 화장에 관심이 많은데 전시회에서 당시 제품이나 의상을 보니 감회가 새롭다”며 “요즘 Y2K(밀레니엄 버그)가 다시 뜨고 있는데 그 이전에 유행했던...
2023.06.06.,얼어붙은 소비 녹일 ‘P.T.S.D’ [스페셜리포트],"신라면세점은 아모레퍼시픽과 함께 ‘그 시절, 우리가 사랑했던 유행 화장’ 전시를 진행하고 있다. 1980년대를 재현한 공간에서 당시의 스타일링을 활용한 화장대, 옷장, 응접실 등으로 공간을 구성했다. 불황형 소비 심리 노린 ‘사기 사이트’ 극성 “미끼 상품·환불 거부 조심하세요” 최근 ‘초저가’..."
2023.06.06.,"[기획] ""中 대신 新시장 찾자""…해외로 뻗어나가는 K뷰티","6일 업계에 따르면 중국 의존도가 높은 LG생활건강과 아모레퍼시픽은 올 1분기 다소 부진했던 실적을 수출 지역 다변화를 통해 상쇄해간단 전략을 세웠다. 아모레퍼시픽의 경우, 올 1분기 중국 매출이 40% 이상 하락했지만, 신제품 출시 및 채널 재정비를 통해 향후 질적 성장 기반을 닦고 있다. 올해는 북미 주요..."
2023.06.06.,"마이클 베빌라쿠아, 관훈갤러리에서 두 번째 개인전 개최","아모레퍼시픽에서 소장하면서 국내에 처음 소개된 베빌라쿠아 작가는 지난 2005년 덴마크 루지아나 미술관에서 최연소로 개인전을 한 후 일본, 중국 등에서 전시를 열었습니다. 작가의 첫 개인전은 블랙핑크의 음악에서 영감을 받아 지난 2021년 관훈 갤러리에서 진행했고 올해 두 번째..."
2023.06.06.,지금 나에게 필요한 건강기능식품은?,"코로나19로 인해 늘어난 전자 기기 사용량, 잦은 야근 등 변화하는 라이프스타일에 따른 것이죠.” 아모레퍼시픽 바이탈뷰티 윤아랑 담당자가 전한다. 그중 고객들이 호소하는 불편함 1위는 바로 건조함. “안구 건조를 방치하면 눈 시림, 뻑뻑함, 가려움, 눈곱 같은 증상이 악화하면서 시력 저하까지 초래할..."
2023.06.07.,"L7홍대, 아모레퍼시픽 톤워크 콜라보 패키지 출시",서울 L7 홍대는 아모레퍼시픽(090430) 브랜드 톤워크와 콜라보한 '파인드 유어 오운 컬러(FIND YOUR OWN COLOR)' 패키지를 판매한다고 7일 밝혔다. 객실 1박과 톤워크 이용권 1매로 구성됐다. 톤워크 이용권은 1인 1매 사용 가능하며 피부 톤 측정 뒤 컬러에 맞는 파운데이션 또는 쿠션 1개를 받을 수 있는 혜택이...
2023.06.07.,"아모레퍼시픽 에스트라, 대학생 크리에이터 모집",아모레퍼시픽의 메디뷰티 브랜드 에스트라는 7일부터 'A마스터' 2기 모집을 시작한다. A마스터는 에스트라(AESTURA)와 마스터(MASTER)의 합성어로 에스트라의 대학생 콘텐츠 크리에이터를 뜻한다. 에스트라가 대학생 콘텐츠 크리에이터 'A마스터' 2기를 모집한다.[사진=아모레퍼시픽] 서류 접수는 오는 18일까지...
2023.06.07.,[브리프] 아모레퍼시픽 LG생활건강 이랜드 프로스펙스 무신사,"■ 아모레퍼시픽 에스트라, 대학생 콘텐츠 크리에이터 'A마스터' 2기 모집 출처=아모레퍼시픽 아모레퍼시픽의 메디뷰티 브랜드 에스트라(AESTURA)가 오늘(7일)부터 'A마스터' 2기 모집을 시작한다. A마스터는 에스트라(AESTURA)와 마스터(MASTER)의 합성어로, 국내 대표 더마 브랜드 에스트라의 대학생 콘텐츠..."
2023.06.07.,아모레퍼시픽 탈중국 정책...투자자 견해?,"아모레퍼시픽 투자자들은 아모레퍼시픽이 '탈 중국을 하고 북미 시장에 주력하겠다'는 정책을 발표한 후 종목토론실을 통해 탈 중국 타당성 여부를 놓고 지속적의 의견을 개진하고 있다. 오늘(7일)도 한 투자자는 '중국을 기본 베이스로하고 미국, 유럽, 캐나다 등 해외 시장 공략하려고 했음. 10년 전에..."
